title,classes
"Blade Ward","bard,sorcerer,warlock,wizard"
"Elementalism","artificer,druid,sorcerer,wizard"
"Mind Sliver","sorcerer,warlock,wizard"
"Thorn Whip","artificer,druid"
"Thunderclap","artificer,bard,druid,sorcerer,warlock,wizard"
"Toll the Dead","cleric,warlock,wizard"
"Word of Radiance","cleric"
"Armor of Agathys","warlock"
"Arms of Hadar","warlock"
"Compelled Duel","paladin"
"Hail of Thorns","ranger"
"Ice Knife","druid,sorcerer,wizard"
"Spellfire Flare","sorcerer,wizard"
"Tasha's Hideous Laughter","bard,warlock,wizard"
"Tenser's Floating Disk","wizard"
"Thunderous Smite","paladin"
"Wardaway","bard,cleric,paladin,wizard"
"Witch Bolt","sorcerer,warlock,wizard"
"Wrathful Smite","paladin"
"Arcane Vigor","artificer,sorcerer,wizard"
"Beast Sense","druid,ranger"
"Blindness/Deafness","bard,cleric,sorcerer,wizard"
"Cloud Of Daggers","bard,sorcerer,warlock,wizard"
"Cordon Of Arrows","ranger"
"Crown Of Madness","bard,sorcerer,warlock,wizard"
"Death Armor","sorcerer,wizard"
"Deryan's Helpful Homunculi","cleric,wizard"
"Elminster's Elusion","wizard"
"Enlarge/Reduce","artificer,bard,druid,sorcerer,wizard"
"Homunculus Servant","artificer"
"Melf's Acid Arrow","wizard"
"Mind Spike","sorcerer,warlock,wizard"
"Nystul's Magic Aura","wizard"
"Phantasmal Force","bard,sorcerer,wizard"
"Summon Beast","druid,ranger"
"Aura of Vitality","cleric,druid,paladin"
"Blinding Smite","paladin"
"Cacophonic Shield","bard,sorcerer,wizard"
"Conjure Barrage","ranger"
"Conjure Constructs","wizard"
"Crusader's Mantle","paladin"
"Elemental Weapon","artificer,druid,paladin,ranger"
"Feign Death","bard,cleric,druid,wizard"
"Hunger of Hadar","warlock"
"Laeral's Silver Lance","cleric,sorcerer,wizard"
"Leomund's Tiny Hut","bard,wizard"
"Lightning Arrow","ranger"
"Summon Fey","druid,ranger,warlock,wizard"
"Summon Undead","warlock,wizard"
"Sylune's Viper","druid,wizard"
"Aura of Purity","cleric,paladin"
"Backlash","bard,sorcerer,warlock,wizard"
"Doomtide","bard,cleric,warlock"
"Evard's Black Tentacles","wizard"
"Fount of Moonlight","bard,druid"
"Grasping Vine","druid,ranger"
"Leomund's Secret Chest","artificer,wizard"
"Mordenkainen's Faithful Hound","wizard"
"Mordenkainen's Private Sanctum","artificer,wizard"
"Otiluke's Resilient Sphere","artificer,wizard"
"Spellfire Storm","sorcerer,wizard"
"Staggering Smite","paladin"
"Summon Aberration","warlock,wizard"
"Summon Construct","artificer,wizard"
"Summon Elemental","druid,ranger,wizard"
"Vitriolic Sphere","sorcerer,wizard"
"Alustriel's Mooncloak","bard,druid,ranger,wizard"
"Banishing Smite","paladin"
"Bigby's Hand","artificer,sorcerer,wizard"
"Circle Of Power","artificer,cleric,paladin,wizard"
"Conjure Volley","ranger"
"Destructive Wave","paladin"
"Jallarzi's Storm of Radiance","warlock,wizard"
"Rary's Telepathic Bond","bard,wizard"
"Songal's Elemental Suffusion","druid,sorcerer,wizard"
"Steel Wind Strike","ranger,wizard"
"Summon Celestial","cleric,paladin"
"Swift Quiver","ranger"
"Synaptic Static","bard,sorcerer,warlock,wizard"
"Yolande's Regal Presence","bard,wizard"
"Arcane Gate","sorcerer,warlock,wizard"
"Dirge","bard,cleric"
"Drawmij's Instant Summons","wizard"
"Elminster's Effulgent Spheres","druid,sorcerer,wizard"
"Otiluke's Freezing Sphere","sorcerer,wizard"
"Otto's Irresistible Dance","bard,wizard"
"Summon Fiend","warlock,wizard"
"Tasha's Bubbling Cauldron","warlock,wizard"
"Mordenkainen's Magnificent Mansion","bard,wizard"
"Mordenkainen's Sword","bard,wizard"
"Power Word Fortify","bard,cleric"
"Simbul's Synostodweomer","sorcerer,wizard"
"Antipathy/Sympathy","bard,druid,wizard"
"Holy Star of Mystra","cleric,wizard"
"Telepathy","wizard"
"Tsunami","druid"
"Blade Of Disaster","sorcerer,warlock,wizard"
